names,Price,Area,Unit Type
Prestige Bagamane Temple Bells,71.18 L -71.55 L,1369-1376 sq.ft,2.5 BHK Apartment
Prestige Bagamane Temple Bells,74.05 L -1.10 Cr,1590-1611 sq.ft,3 BHK Apartment
S2 Homes The Water Grove,49.20 L -61.51 L,1097-1162 sq.ft,2 BHK Apartment
S2 Homes The Water Grove,57.39 L -61.51 L,1300-1404 sq.ft,2.5 BHK Apartment
S2 Homes The Water Grove,63.23 L -66.94 L,1447-1537 sq.ft,3 BHK Apartment
S2 Homes The Water Grove,63.23 L,1445 sq.ft,3.5 BHK Apartment
Prestige Tranquility,36 L -42 L,664-722 sq.ft,1 BHK Apartment
Prestige Tranquility,42.97 L -6.30 Cr,1087-1162 sq.ft,2 BHK Apartment
Prestige Tranquility,80 L -1.30 Cr,1636-1820 sq.ft,3 BHK Apartment
Mana Tropicale,40 L,771 sq.ft,0.5 BHK Apartment
Mana Tropicale,25.66 L -36.84 L,558-725 sq.ft,1 BHK Apartment
Mana Tropicale,47.51 L -64.43 L,1033-1300 sq.ft,2 BHK Apartment
Mana Tropicale,60.72 L -95 L,1320-1800 sq.ft,3 BHK Apartment
Embassy Boulevard,6.84 Cr,3935 sq.ft,4 BHK Apartment
Embassy Boulevard,6.33 Cr -7.30 Cr,3935-4105 sq.ft,4 BHK Villa
Embassy Boulevard,9.40 Cr -12.79 Cr,5900 sq.ft,4+ BHK Villa
Embassy Boulevard,10.32 Cr -12.79 Cr,5900-7310 sq.ft,5 BHK Villa
Upkar Oakland,42 L,1500 sq.ft,Plot
Upkar Oakland,24.42 L -25.61 L,788 sq.ft,1 BHK Apartment
Upkar Oakland,32.51 L -41.21 L,1049-1268 sq.ft,2 BHK Apartment
Upkar Oakland,49.47 L -51.87 L,1596 sq.ft,3 BHK Apartment
Brigade Woods,,622-632 sq.ft,1 BHK Apartment
Brigade Woods,75 L -1.15 Cr,1364-1465 sq.ft,2 BHK Apartment
Brigade Woods,1.04 Cr -1.06 Cr,1592-1621 sq.ft,2.5 BHK Apartment
Brigade Woods,1 Cr -1.37 Cr,1695-1782 sq.ft,3 BHK Apartment
Brigade Woods,,1945 sq.ft,3.5 BHK Apartment
Brigade Caladium,3.49 Cr -3.59 Cr,3520 sq.ft,3 BHK Apartment
Brigade Caladium,3.57 Cr -4.35 Cr,4000-4310 sq.ft,4 BHK Apartment
The Phoenix Mills Kessaku,32 L,746 sq.ft,1 BHK Apartment
The Phoenix Mills Kessaku,59.64 L -75 L,1228-1261 sq.ft,2 BHK Apartment
The Phoenix Mills Kessaku,96 L -1.03 Cr,1585-1644 sq.ft,3 BHK Apartment
Kolte Patil Mirabilis,8.50 Cr -13.14 Cr,6116 sq.ft,4 BHK Apartment
Kolte Patil Mirabilis,9.50 Cr -24 Cr,12000 sq.ft,4+ BHK Apartment
Kolte Patil Mirabilis,15.28 Cr,7506 sq.ft,5 BHK Apartment
Kolte Patil Mirabilis,24.17 Cr,11968 sq.ft,6 BHK Apartment
Bren Champions Square,27.75 L -38.83 L,436-639 sq.ft,1 BHK Apartment
Bren Champions Square,56.25 L -90 L,1114-1454 sq.ft,2 BHK Apartment
Bren Champions Square,,1270 sq.ft,2.5 BHK Apartment
Bren Champions Square,75.95 L -96 L,1504-1600 sq.ft,3 BHK Apartment
Bren Champions Square,2.70 Cr,2282-2299 sq.ft,4 BHK Apartment
GR Regent Park,75.52 L -78.47 L,1280-1330 sq.ft,2 BHK Apartment
GR Regent Park,95 L -1.50 Cr,1640-2350 sq.ft,3 BHK Apartment
Eden and Serene at Brigade Cornerstone Utopia,27.35 L -30 L,547 sq.ft,0.5 BHK Apartment
Eden and Serene at Brigade Cornerstone Utopia,35 L -44 L,782 sq.ft,1 BHK Apartment
Eden and Serene at Brigade Cornerstone Utopia,30 L,547 sq.ft,1 RK StudioApartment
